/home/allenhaozhu/anaconda3/bin/python /home/allenhaozhu/Downloads/AGC-master/test.py
ACC=0.634021, f1_macro=0.640690, precision_macro=0.638329, recall_macro=0.657301, f1_micro=0.634021, precision_micro=0.634021, recall_micro=0.634021, NMI=0.231865, ADJ_RAND_SCORE=0.225998
ACC=0.634224, f1_macro=0.640934, precision_macro=0.638499, recall_macro=0.657429, f1_micro=0.634224, precision_micro=0.634224, recall_micro=0.634224, NMI=0.231956, ADJ_RAND_SCORE=0.226093
ACC=0.634174, f1_macro=0.640841, precision_macro=0.638421, recall_macro=0.657387, f1_micro=0.634174, precision_micro=0.634174, recall_micro=0.634174, NMI=0.231859, ADJ_RAND_SCORE=0.226038
ACC=0.633971, f1_macro=0.640620, precision_macro=0.638164, recall_macro=0.656983, f1_micro=0.633971, precision_micro=0.633971, recall_micro=0.633971, NMI=0.231503, ADJ_RAND_SCORE=0.225729
ACC=0.633971, f1_macro=0.640642, precision_macro=0.638287, recall_macro=0.657259, f1_micro=0.633971, precision_micro=0.633971, recall_micro=0.633971, NMI=0.231840, ADJ_RAND_SCORE=0.225959
ACC=0.634072, f1_macro=0.640641, precision_macro=0.638417, recall_macro=0.657968, f1_micro=0.634072, precision_micro=0.634072, recall_micro=0.634072, NMI=0.232219, ADJ_RAND_SCORE=0.226258
ACC=0.634529, f1_macro=0.641195, precision_macro=0.638852, recall_macro=0.658345, f1_micro=0.634529, precision_micro=0.634529, recall_micro=0.634529, NMI=0.232554, ADJ_RAND_SCORE=0.226585
ACC=0.634072, f1_macro=0.640751, precision_macro=0.638352, recall_macro=0.657303, f1_micro=0.634072, precision_micro=0.634072, recall_micro=0.634072, NMI=0.231835, ADJ_RAND_SCORE=0.225982
ACC=0.634072, f1_macro=0.640743, precision_macro=0.638286, recall_macro=0.657145, f1_micro=0.634072, precision_micro=0.634072, recall_micro=0.634072, NMI=0.231652, ADJ_RAND_SCORE=0.225854
ACC=0.633920, f1_macro=0.640600, precision_macro=0.638275, recall_macro=0.657217, f1_micro=0.633920, precision_micro=0.633920, recall_micro=0.633920, NMI=0.231895, ADJ_RAND_SCORE=0.225973
power: 1 intra_dist: 0.9030635166779817 acc_mean: 0.6341025510980371 acc_std: 0.00016698359418932068 nmi_mean: 0.2319178078239969 nmi_std: 0.0002757130952713996 f1_mean: 0.6407658395995204 f1_std: 0.00017443979212079092
ACC=0.652178, f1_macro=0.656587, precision_macro=0.659865, recall_macro=0.675590, f1_micro=0.652178, precision_micro=0.652178, recall_micro=0.652178, NMI=0.261762, ADJ_RAND_SCORE=0.255663
ACC=0.651367, f1_macro=0.656125, precision_macro=0.658909, recall_macro=0.674893, f1_micro=0.651367, precision_micro=0.651367, recall_micro=0.651367, NMI=0.260371, ADJ_RAND_SCORE=0.254165
ACC=0.648628, f1_macro=0.654196, precision_macro=0.655316, recall_macro=0.672774, f1_micro=0.648628, precision_micro=0.648628, recall_micro=0.648628, NMI=0.255652, ADJ_RAND_SCORE=0.249065
ACC=0.651063, f1_macro=0.655876, precision_macro=0.658485, recall_macro=0.674402, f1_micro=0.651063, precision_micro=0.651063, recall_micro=0.651063, NMI=0.259616, ADJ_RAND_SCORE=0.253580
ACC=0.651113, f1_macro=0.655937, precision_macro=0.658550, recall_macro=0.674483, f1_micro=0.651113, precision_micro=0.651113, recall_micro=0.651113, NMI=0.259692, ADJ_RAND_SCORE=0.253641
ACC=0.648730, f1_macro=0.654453, precision_macro=0.655470, recall_macro=0.672819, f1_micro=0.648730, precision_micro=0.648730, recall_micro=0.648730, NMI=0.255604, ADJ_RAND_SCORE=0.249064
ACC=0.651773, f1_macro=0.656432, precision_macro=0.659306, recall_macro=0.675007, f1_micro=0.651773, precision_micro=0.651773, recall_micro=0.651773, NMI=0.260607, ADJ_RAND_SCORE=0.254684
ACC=0.651113, f1_macro=0.655920, precision_macro=0.658538, recall_macro=0.674561, f1_micro=0.651113, precision_micro=0.651113, recall_micro=0.651113, NMI=0.259837, ADJ_RAND_SCORE=0.253691
ACC=0.648070, f1_macro=0.653832, precision_macro=0.654598, recall_macro=0.672294, f1_micro=0.648070, precision_micro=0.648070, recall_micro=0.648070, NMI=0.254686, ADJ_RAND_SCORE=0.248011
ACC=0.653193, f1_macro=0.657431, precision_macro=0.661311, recall_macro=0.676383, f1_micro=0.653193, precision_micro=0.653193, recall_micro=0.653193, NMI=0.263443, ADJ_RAND_SCORE=0.257478
power: 2 intra_dist: 0.7831350384909467 acc_mean: 0.6507227265811228 acc_std: 0.0015985397028030414 nmi_mean: 0.25912699178451193 nmi_std: 0.002730741544752359 f1_mean: 0.6556788546506268 f1_std: 0.0010924308531975531
ACC=0.670640, f1_macro=0.668281, precision_macro=0.688098, recall_macro=0.691584, f1_micro=0.670640, precision_micro=0.670640, recall_micro=0.670640, NMI=0.305390, ADJ_RAND_SCORE=0.291946
ACC=0.670640, f1_macro=0.668255, precision_macro=0.688242, recall_macro=0.691625, f1_micro=0.670640, precision_micro=0.670640, recall_micro=0.670640, NMI=0.305693, ADJ_RAND_SCORE=0.292064
ACC=0.670640, f1_macro=0.668281, precision_macro=0.688098, recall_macro=0.691584, f1_micro=0.670640, precision_micro=0.670640, recall_micro=0.670640, NMI=0.305390, ADJ_RAND_SCORE=0.291946
ACC=0.670589, f1_macro=0.668243, precision_macro=0.688068, recall_macro=0.691579, f1_micro=0.670589, precision_micro=0.670589, recall_micro=0.670589, NMI=0.305346, ADJ_RAND_SCORE=0.291855
ACC=0.670640, f1_macro=0.668255, precision_macro=0.688242, recall_macro=0.691625, f1_micro=0.670640, precision_micro=0.670640, recall_micro=0.670640, NMI=0.305693, ADJ_RAND_SCORE=0.292064
ACC=0.670640, f1_macro=0.668255, precision_macro=0.688242, recall_macro=0.691625, f1_micro=0.670640, precision_micro=0.670640, recall_micro=0.670640, NMI=0.305693, ADJ_RAND_SCORE=0.292064
ACC=0.670589, f1_macro=0.668244, precision_macro=0.688063, recall_macro=0.691502, f1_micro=0.670589, precision_micro=0.670589, recall_micro=0.670589, NMI=0.305194, ADJ_RAND_SCORE=0.291839
ACC=0.670640, f1_macro=0.668255, precision_macro=0.688242, recall_macro=0.691625, f1_micro=0.670640, precision_micro=0.670640, recall_micro=0.670640, NMI=0.305693, ADJ_RAND_SCORE=0.292064
ACC=0.670640, f1_macro=0.668255, precision_macro=0.688242, recall_macro=0.691625, f1_micro=0.670640, precision_micro=0.670640, recall_micro=0.670640, NMI=0.305693, ADJ_RAND_SCORE=0.292064
ACC=0.670589, f1_macro=0.668214, precision_macro=0.688061, recall_macro=0.691580, f1_micro=0.670589, precision_micro=0.670589, recall_micro=0.670589, NMI=0.305291, ADJ_RAND_SCORE=0.291863
power: 3 intra_dist: 0.7460287143104277 acc_mean: 0.6706243343307806 acc_std: 2.3241749226349323e-05 nmi_mean: 0.30550747763074904 nmi_std: 0.00019226524635537683 f1_mean: 0.6682535476784507 f1_std: 1.7989224045950744e-05
ACC=0.674596, f1_macro=0.671526, precision_macro=0.692622, recall_macro=0.694709, f1_micro=0.674596, precision_micro=0.674596, recall_micro=0.674596, NMI=0.311125, ADJ_RAND_SCORE=0.297577
ACC=0.674596, f1_macro=0.671526, precision_macro=0.692622, recall_macro=0.694709, f1_micro=0.674596, precision_micro=0.674596, recall_micro=0.674596, NMI=0.311125, ADJ_RAND_SCORE=0.297577
ACC=0.674951, f1_macro=0.671899, precision_macro=0.692917, recall_macro=0.695006, f1_micro=0.674951, precision_micro=0.674951, recall_micro=0.674951, NMI=0.311434, ADJ_RAND_SCORE=0.297966
ACC=0.674798, f1_macro=0.671733, precision_macro=0.692766, recall_macro=0.694878, f1_micro=0.674798, precision_micro=0.674798, recall_micro=0.674798, NMI=0.311258, ADJ_RAND_SCORE=0.297775
ACC=0.674951, f1_macro=0.671899, precision_macro=0.692917, recall_macro=0.695006, f1_micro=0.674951, precision_micro=0.674951, recall_micro=0.674951, NMI=0.311434, ADJ_RAND_SCORE=0.297966
ACC=0.674596, f1_macro=0.671526, precision_macro=0.692622, recall_macro=0.694709, f1_micro=0.674596, precision_micro=0.674596, recall_micro=0.674596, NMI=0.311125, ADJ_RAND_SCORE=0.297577
ACC=0.674748, f1_macro=0.671691, precision_macro=0.692789, recall_macro=0.694799, f1_micro=0.674748, precision_micro=0.674748, recall_micro=0.674748, NMI=0.311134, ADJ_RAND_SCORE=0.297737
ACC=0.674596, f1_macro=0.671514, precision_macro=0.692653, recall_macro=0.694672, f1_micro=0.674596, precision_micro=0.674596, recall_micro=0.674596, NMI=0.311026, ADJ_RAND_SCORE=0.297560
ACC=0.674646, f1_macro=0.671579, precision_macro=0.692712, recall_macro=0.694714, f1_micro=0.674646, precision_micro=0.674646, recall_micro=0.674646, NMI=0.311110, ADJ_RAND_SCORE=0.297628
ACC=0.674697, f1_macro=0.671631, precision_macro=0.692748, recall_macro=0.694756, f1_micro=0.674697, precision_micro=0.674697, recall_micro=0.674697, NMI=0.311143, ADJ_RAND_SCORE=0.297677
power: 4 intra_dist: 0.7059717768433299 acc_mean: 0.6747172490744029 acc_std: 0.00013456914501617278 nmi_mean: 0.3111916179250025 nmi_std: 0.00013219349152833367 f1_mean: 0.6716525444105061 f1_std: 0.00014223150104003264
ACC=0.676776, f1_macro=0.673377, precision_macro=0.694414, recall_macro=0.696428, f1_micro=0.676776, precision_micro=0.676776, recall_micro=0.676776, NMI=0.312790, ADJ_RAND_SCORE=0.299949
ACC=0.676726, f1_macro=0.673340, precision_macro=0.694324, recall_macro=0.696384, f1_micro=0.676726, precision_micro=0.676726, recall_micro=0.676726, NMI=0.312633, ADJ_RAND_SCORE=0.299837
ACC=0.676726, f1_macro=0.673340, precision_macro=0.694324, recall_macro=0.696384, f1_micro=0.676726, precision_micro=0.676726, recall_micro=0.676726, NMI=0.312633, ADJ_RAND_SCORE=0.299837
ACC=0.676878, f1_macro=0.673514, precision_macro=0.694429, recall_macro=0.696588, f1_micro=0.676878, precision_micro=0.676878, recall_micro=0.676878, NMI=0.313008, ADJ_RAND_SCORE=0.300092
ACC=0.676726, f1_macro=0.673340, precision_macro=0.694324, recall_macro=0.696384, f1_micro=0.676726, precision_micro=0.676726, recall_micro=0.676726, NMI=0.312633, ADJ_RAND_SCORE=0.299837
ACC=0.676574, f1_macro=0.673186, precision_macro=0.694208, recall_macro=0.696371, f1_micro=0.676574, precision_micro=0.676574, recall_micro=0.676574, NMI=0.312857, ADJ_RAND_SCORE=0.299730
ACC=0.676726, f1_macro=0.673340, precision_macro=0.694324, recall_macro=0.696384, f1_micro=0.676726, precision_micro=0.676726, recall_micro=0.676726, NMI=0.312633, ADJ_RAND_SCORE=0.299837
ACC=0.676929, f1_macro=0.673555, precision_macro=0.694476, recall_macro=0.696593, f1_micro=0.676929, precision_micro=0.676929, recall_micro=0.676929, NMI=0.312918, ADJ_RAND_SCORE=0.300103
ACC=0.676827, f1_macro=0.673429, precision_macro=0.694453, recall_macro=0.696509, f1_micro=0.676827, precision_micro=0.676827, recall_micro=0.676827, NMI=0.313019, ADJ_RAND_SCORE=0.300053
ACC=0.676624, f1_macro=0.673238, precision_macro=0.694240, recall_macro=0.696375, f1_micro=0.676624, precision_micro=0.676624, recall_micro=0.676624, NMI=0.312695, ADJ_RAND_SCORE=0.299726
power: 5 intra_dist: 0.684344752975445 acc_mean: 0.6767510270325101 acc_std: 0.00010206731144444 nmi_mean: 0.3127815843013152 nmi_std: 0.0001511003487780918 f1_mean: 0.6733657945132732 f1_std: 0.00010635557998042292
ACC=0.678602, f1_macro=0.675087, precision_macro=0.696106, recall_macro=0.698081, f1_micro=0.678602, precision_micro=0.678602, recall_micro=0.678602, NMI=0.314885, ADJ_RAND_SCORE=0.302246
ACC=0.678602, f1_macro=0.675087, precision_macro=0.696106, recall_macro=0.698081, f1_micro=0.678602, precision_micro=0.678602, recall_micro=0.678602, NMI=0.314885, ADJ_RAND_SCORE=0.302246
ACC=0.678602, f1_macro=0.675087, precision_macro=0.696106, recall_macro=0.698081, f1_micro=0.678602, precision_micro=0.678602, recall_micro=0.678602, NMI=0.314885, ADJ_RAND_SCORE=0.302246
